NAVCOID	CAMPAIGN	LOCATION	BYEAR	EYEAR	TARGET	SUCCESS	LIMITED	FAILURE	ONGOING	VIOL	NONVIOL	FSELFDET	REGCHANGE	SECESSION	OTHER
1027.0	"Third Anglo-Afghan War"	"Afghanistan"	1919.0	1919.0	"British occupation"	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
1041.0	"Anti-Reformist movement"	"Afghanistan"	1924.0	1929.0	"Amanullah Khan regime"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
4.0	"Afghans"	"Afghanistan"	1978.0	1979.0	"Afghan government"	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
462.0	"Anti-Soviet Movement (3 Hut Uprising)"	"Afghanistan"	1980.0	1980.0	"Gov't of USSR"	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
3.0	"Afghan resistance"	"Afghanistan"	1980.0	1989.0	"Soviet occupation"	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
218.0	"Taliban/anti-government forces"	"Afghanistan"	1992.0	1996.0	"Afghan regime"	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
217.0	"Taliban"	"Afghanistan"	2001.0	2019.0	"Afghan government"	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0
436.0	"ISIS-Afghanistan"	"Afghanistan"	2015.0	2019.0	"Gov't of Afghanistan/Go'vt of US"	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0
5.0	"Albanian anti-communist"	"Albania"	1990.0	1991.0	"Communist regime"	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
563.0	"Albanian anti-corruption"	"Albania"	2019.0	2019.0	"Rama government"	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0
6.0	"Algerian Revolt/National Liberation Front"	"Algeria"	1954.0	1962.0	"French occupation"	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
82.0	"former rebel leaders"	"Algeria"	1962.0	1963.0	"Ben Bella regime"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
106.0	"Islamic Salvation Front"	"Algeria"	1992.0	2002.0	"Algerian government"	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
